iter	Passed	Remaining
0	1	1076
1	2	1404
2	9	3160
3	17	4358
4	19	3910
5	19	3292
6	21	3118
7	22	2847
8	24	2692
9	26	2617
10	26	2406
11	27	2292
12	30	2279
13	30	2135
14	30	2033
15	32	1995
16	33	1916
17	33	1832
18	33	1744
19	34	1686
20	35	1649
21	36	1619
22	37	1573
23	37	1515
24	37	1460
25	38	1448
26	39	1440
27	41	1441
28	42	1410
29	42	1382
30	44	1383
31	45	1378
32	45	1344
33	46	1334
34	47	1316
35	48	1293
36	48	1266
37	49	1250
38	51	1256
39	51	1237
40	51	1215
41	52	1197
42	53	1185
43	55	1196
44	56	1188
45	56	1175
46	58	1185
47	59	1171
48	59	1157
49	60	1144
50	60	1131
51	62	1133
52	62	1120
53	63	1111
54	64	1104
55	66	1115
56	66	1106
57	67	1097
58	68	1091
59	68	1077
60	69	1069
61	70	1059
62	70	1049
63	71	1041
64	72	1042
65	73	1043
66	74	1036
67	75	1032
68	75	1020
69	77	1024
70	78	1029
71	79	1022
72	80	1016
73	80	1009
74	81	1005
75	82	999
76	82	993
77	83	988
78	84	985
79	86	994
80	87	987
81	87	980
82	88	974
83	88	969
84	89	964
85	90	958
86	90	951
87	91	946
