iter	Accuracy	MultiClass
0	0.5052264808	1.080739821
1	0.5087108014	1.065462671
2	0.5052264808	1.053003244
3	0.5226480836	1.040004539
4	0.512195122	1.030339725
5	0.5017421603	1.022473314
6	0.5087108014	1.009824252
7	0.5052264808	1.002304082
8	0.5087108014	0.9967554492
9	0.5087108014	0.9923343799
10	0.5191637631	0.9835048762
11	0.5087108014	0.9799656159
12	0.5156794425	0.9752977485
13	0.5226480836	0.9697545855
14	0.5191637631	0.9672457965
15	0.5226480836	0.9616730928
16	0.5261324042	0.9587733289
17	0.5226480836	0.9571223765
18	0.5156794425	0.9555569317
19	0.5156794425	0.9548056279
20	0.5261324042	0.9498345839
21	0.543554007	0.9443607393
22	0.5296167247	0.939838188
23	0.5400696864	0.9356656052
24	0.5365853659	0.9347791923
25	0.543554007	0.9320179947
26	0.5296167247	0.9292218034
27	0.5470383275	0.9252584325
28	0.5679442509	0.9226941376
29	0.5679442509	0.9196186
30	0.5714285714	0.9166049957
31	0.5714285714	0.9135673984
32	0.574912892	0.911263726
33	0.5783972125	0.9095565616
34	0.5783972125	0.9079023402
35	0.5818815331	0.9054377673
36	0.5783972125	0.9019825082
37	0.5783972125	0.9018772004
38	0.5783972125	0.9000800292
39	0.5853658537	0.8981104541
40	0.5888501742	0.8951611732
41	0.5888501742	0.8948167356
42	0.5818815331	0.8935103142
43	0.5818815331	0.8916538817
44	0.5818815331	0.8915037877
45	0.5958188153	0.8891354225
46	0.5993031359	0.8863506925
47	0.6027874564	0.8834552331
48	0.6027874564	0.8827400025
49	0.6027874564	0.8798608684
50	0.606271777	0.8765122886
51	0.6132404181	0.8734229654
52	0.6097560976	0.8732246634
53	0.6236933798	0.8660225249
54	0.6236933798	0.8659972266
55	0.6236933798	0.8652966581
56	0.6236933798	0.8647955716
57	0.6236933798	0.8634017618
58	0.6236933798	0.8629330835
59	0.6271777003	0.8600925166
60	0.6236933798	0.8583738269
61	0.6202090592	0.8563987421
62	0.6236933798	0.8540955572
63	0.6271777003	0.8524066259
64	0.6306620209	0.8491186046
65	0.6341463415	0.8451092076
66	0.637630662	0.842550676
67	0.637630662	0.8409418004
68	0.6411149826	0.8386105477
69	0.6480836237	0.8367361432
70	0.6480836237	0.8350593026
71	0.6480836237	0.8345392104
