iter	Accuracy	MultiClass
0	0.5223463687	1.07969688
1	0.5251396648	1.062769771
2	0.5223463687	1.049508244
3	0.5139664804	1.039102176
4	0.5055865922	1.030359645
5	0.5055865922	1.022608474
6	0.5083798883	1.013684238
7	0.5139664804	1.005322163
8	0.5055865922	0.9988244449
9	0.5027932961	0.9955211632
10	0.5	0.9912830642
11	0.5083798883	0.988656601
12	0.5111731844	0.9830908399
13	0.5111731844	0.9802627584
14	0.5083798883	0.9786136251
15	0.5167597765	0.9722666325
16	0.5167597765	0.9693181696
17	0.5167597765	0.9650783188
18	0.5223463687	0.9621958939
19	0.5139664804	0.9593668728
20	0.5279329609	0.9573109686
21	0.5391061453	0.9529893133
22	0.5391061453	0.9495766557
23	0.5391061453	0.9491416433
24	0.5391061453	0.947228313
25	0.5391061453	0.9463973965
26	0.5391061453	0.9461961268
27	0.5391061453	0.9448162992
28	0.5391061453	0.9445126047
29	0.5446927374	0.9426271754
30	0.5530726257	0.9377277005
31	0.5530726257	0.9353325639
32	0.561452514	0.9313307079
33	0.5642458101	0.928573767
34	0.5530726257	0.9269896303
35	0.5698324022	0.9242595628
36	0.5698324022	0.9228459784
37	0.5754189944	0.9206577968
38	0.5754189944	0.9149388158
39	0.5754189944	0.9145140856
40	0.5782122905	0.9105049094
41	0.5782122905	0.9091668344
42	0.5782122905	0.9084617425
43	0.5754189944	0.9081016871
44	0.5782122905	0.9066634957
45	0.5810055866	0.9058294794
46	0.5810055866	0.9042573213
47	0.5865921788	0.9006357487
48	0.5921787709	0.8974026488
49	0.6033519553	0.8949111413
50	0.6005586592	0.8930180772
51	0.6089385475	0.8909034893
52	0.6173184358	0.8889304214
53	0.6145251397	0.888866586
54	0.6173184358	0.8874864457
55	0.6229050279	0.8858439922
56	0.6173184358	0.8845409207
57	0.6201117318	0.8823778159
58	0.6201117318	0.8800815994
59	0.6201117318	0.8788362779
60	0.6173184358	0.8779962517
61	0.6173184358	0.8749415223
62	0.625698324	0.8723405858
63	0.625698324	0.8712808709
64	0.6229050279	0.8670143361
65	0.625698324	0.8657080102
66	0.6284916201	0.8648370717
67	0.625698324	0.8635624394
68	0.625698324	0.8620052736
69	0.6312849162	0.8607480557
70	0.6312849162	0.8594330673
71	0.6312849162	0.8591687551
72	0.6340782123	0.8563978323
73	0.625698324	0.8542410412
74	0.6368715084	0.8518212656
75	0.6368715084	0.8512304585
76	0.6312849162	0.8500584643
77	0.6312849162	0.8489851568
78	0.6312849162	0.8462319439
79	0.6368715084	0.8454017451
80	0.6368715084	0.8435592765
81	0.6368715084	0.8421495441
82	0.6368715084	0.8417499419
83	0.6396648045	0.8406438361
84	0.6396648045	0.8386283027
85	0.6368715084	0.8362775059
86	0.6424581006	0.8337718832
87	0.6452513966	0.8319857511
88	0.6452513966	0.8300838273
89	0.6452513966	0.8295964743
90	0.6452513966	0.8275175684
91	0.6452513966	0.8262029197
92	0.6452513966	0.8252862907
93	0.6480446927	0.8229689138
94	0.6480446927	0.8218264051
95	0.6480446927	0.819649134
96	0.6452513966	0.8173124208
97	0.6452513966	0.8161489374
98	0.6508379888	0.8120107605
99	0.6592178771	0.808721661
100	0.6592178771	0.8074714699
101	0.656424581	0.8062645397
102	0.6592178771	0.8048475162
103	0.6592178771	0.8024353717
104	0.6592178771	0.8019079994
105	0.6592178771	0.8004042854
106	0.6648044693	0.7986190937
107	0.6648044693	0.7981465537
108	0.6675977654	0.7974905455
109	0.6675977654	0.7968598041
110	0.6703910615	0.7953428086
111	0.6703910615	0.7932381579
112	0.6703910615	0.792258193
113	0.6675977654	0.7906063158
114	0.6675977654	0.7903069037
115	0.6675977654	0.789214399
116	0.6675977654	0.7889093523
117	0.6675977654	0.7879902982
118	0.6675977654	0.7865738971
119	0.6675977654	0.7848512936
120	0.6703910615	0.7837752742
121	0.6703910615	0.7833993602
122	0.6731843575	0.7825830009
123	0.6731843575	0.781862483
124	0.6703910615	0.7803429125
125	0.6703910615	0.7799783846
126	0.6703910615	0.7790694154
127	0.6731843575	0.777416095
128	0.6731843575	0.7763770766
129	0.6703910615	0.7757651899
130	0.6703910615	0.7748281165
131	0.6703910615	0.7745489162
132	0.6703910615	0.7740967487
133	0.6675977654	0.771579901
134	0.6648044693	0.7690655384
135	0.6648044693	0.767458281
136	0.6648044693	0.7666553995
137	0.6703910615	0.7636918569
138	0.6731843575	0.7631171715
139	0.6787709497	0.7607662022
140	0.6787709497	0.7599490913
141	0.6759776536	0.7590006002
142	0.6759776536	0.7582675914
143	0.6787709497	0.7575730518
144	0.6787709497	0.7567501134
145	0.6787709497	0.7556030618
146	0.6787709497	0.7550791271
147	0.6787709497	0.7541220492
148	0.6815642458	0.7533402437
149	0.6787709497	0.7527004504
150	0.6787709497	0.7505597273
151	0.6815642458	0.749774596
152	0.6843575419	0.7495746013
153	0.6787709497	0.748970689
154	0.6899441341	0.7466728204
155	0.6927374302	0.7446702769
156	0.6927374302	0.7443679445
157	0.6955307263	0.7437163033
158	0.6983240223	0.7413949612
159	0.7011173184	0.7401360002
160	0.6983240223	0.7394419328
161	0.7011173184	0.7375677212
162	0.6983240223	0.7360710873
163	0.7011173184	0.7341402867
164	0.7039106145	0.7313526652
165	0.7039106145	0.7305227563
166	0.7067039106	0.7293111259
167	0.7122905028	0.7278553998
168	0.7122905028	0.7264874868
169	0.717877095	0.7248663338
170	0.7067039106	0.7233046808
171	0.7122905028	0.7220980785
172	0.7067039106	0.7213590951
173	0.7094972067	0.7201910765
174	0.7122905028	0.7195091425
175	0.7150837989	0.7187980805
176	0.7094972067	0.7163788048
177	0.7150837989	0.7137223619
178	0.7122905028	0.7130914059
179	0.717877095	0.7123447208
180	0.717877095	0.7119608086
181	0.7206703911	0.7108926589
182	0.7262569832	0.7092810482
183	0.7206703911	0.7083229813
184	0.7234636872	0.7074890575
185	0.7234636872	0.7068741102
186	0.7206703911	0.7063457745
187	0.7206703911	0.7055279122
188	0.7290502793	0.703518884
189	0.7290502793	0.7027973608
190	0.7290502793	0.7021673858
191	0.7318435754	0.7010100539
192	0.7262569832	0.700241602
193	0.7290502793	0.699712721
194	0.7374301676	0.6971809123
195	0.7402234637	0.6960717566
196	0.7402234637	0.6953395489
197	0.7402234637	0.694593186
198	0.7402234637	0.6937568802
199	0.7402234637	0.6933036161
200	0.7374301676	0.6910868433
201	0.7374301676	0.69078707
202	0.7402234637	0.6888525602
203	0.7374301676	0.6882330239
204	0.7346368715	0.6875410621
205	0.7346368715	0.6861166277
206	0.7346368715	0.6856176496
207	0.7374301676	0.6841838742
208	0.7402234637	0.6834623512
209	0.7402234637	0.6832165157
210	0.7402234637	0.6829260439
211	0.7402234637	0.6825692936
212	0.7402234637	0.6811006864
213	0.7402234637	0.6802579991
214	0.7402234637	0.6795631018
215	0.7402234637	0.6775046242
216	0.7402234637	0.676929204
217	0.7458100559	0.6761543064
218	0.7458100559	0.675391794
219	0.7458100559	0.6730895765
220	0.7458100559	0.6725793976
221	0.7458100559	0.6721220391
222	0.7458100559	0.6711257328
223	0.7430167598	0.6702468485
224	0.7430167598	0.6692544749
225	0.7374301676	0.6687427068
226	0.7430167598	0.6679317455
227	0.7402234637	0.6676240039
228	0.7402234637	0.6668315622
229	0.7430167598	0.6659223298
230	0.7402234637	0.6652317884
231	0.7458100559	0.6640953977
232	0.7458100559	0.6625745091
233	0.748603352	0.662182779
234	0.7458100559	0.6611286527
235	0.7458100559	0.6604981773
236	0.7458100559	0.6592376369
237	0.748603352	0.6580219181
238	0.751396648	0.6566694669
239	0.7541899441	0.6561872534
240	0.751396648	0.6551567593
241	0.748603352	0.6545065772
242	0.751396648	0.6539683863
243	0.751396648	0.6528462264
244	0.7541899441	0.6516747419
245	0.7541899441	0.6496680016
246	0.7541899441	0.6476378812
247	0.7569832402	0.6470312448
248	0.7569832402	0.6464888247
249	0.7597765363	0.645951952
250	0.7597765363	0.6448769457
251	0.7569832402	0.6427330916
252	0.7597765363	0.6423504864
