iter	Passed	Remaining
0	10	10787
1	13	6833
2	14	4973
3	16	4107
4	16	3350
5	17	2857
6	17	2542
7	19	2406
8	20	2244
9	20	2051
10	21	1905
11	21	1788
12	22	1730
13	23	1646
14	23	1551
15	24	1537
16	25	1484
17	26	1467
18	27	1428
19	28	1408
20	29	1380
21	30	1342
22	31	1319
23	31	1277
24	32	1249
25	32	1216
26	32	1176
27	34	1194
28	35	1173
29	36	1183
30	37	1168
31	38	1155
32	38	1141
33	39	1127
34	40	1109
35	40	1095
36	41	1075
37	41	1059
38	42	1044
39	42	1029
40	43	1021
41	44	1024
42	45	1020
43	46	1002
44	48	1026
45	48	1013
46	49	999
47	50	997
48	51	991
49	51	984
50	52	980
51	54	985
52	54	975
53	54	960
54	55	952
55	56	950
56	57	948
57	57	940
58	58	932
59	59	925
60	59	917
61	60	910
62	60	902
63	61	894
64	61	887
65	62	880
66	62	874
67	63	868
68	63	862
69	64	857
70	65	851
71	65	844
72	66	839
73	66	834
74	67	829
75	67	824
76	68	819
77	68	815
78	69	812
79	70	807
80	70	802
81	71	799
82	71	794
83	72	790
84	73	786
85	73	783
86	75	788
87	76	792
88	77	796
89	78	792
90	79	790
91	79	785
92	81	791
93	81	788
94	82	783
95	83	787
96	84	785
97	85	783
98	85	781
99	87	785
100	87	783
101	88	782
102	89	780
103	90	779
104	91	776
105	91	774
106	92	773
107	93	771
108	94	768
109	94	766
110	95	765
111	96	762
112	96	761
113	97	758
114	98	756
115	98	754
116	99	750
117	100	748
118	101	747
119	101	746
120	102	744
121	103	741
122	103	739
123	104	737
124	105	735
125	105	733
126	106	732
127	107	731
128	108	729
129	108	727
130	109	725
131	110	723
132	110	721
133	111	719
134	111	717
135	112	714
136	113	712
137	114	712
138	114	710
139	115	708
140	115	706
141	116	705
142	117	703
143	117	700
144	118	698
145	119	696
146	119	693
147	120	691
148	120	689
149	121	687
150	121	685
151	122	683
152	123	681
153	123	679
154	124	677
155	124	675
156	125	673
157	126	671
158	126	669
159	127	667
160	128	668
161	128	667
162	129	665
163	130	663
164	130	662
165	131	661
166	132	660
167	132	658
168	133	656
169	134	654
170	134	652
171	135	653
172	136	651
173	136	649
174	137	648
175	138	646
176	138	644
177	139	643
178	139	641
179	140	640
180	141	638
181	142	640
182	143	638
183	144	640
184	146	643
185	146	642
186	147	640
187	147	638
188	148	636
189	149	635
190	149	633
191	150	631
192	150	630
193	151	628
194	151	626
195	152	625
196	153	623
197	153	622
198	154	621
199	155	620
200	155	619
201	156	617
202	156	615
203	157	613
204	157	612
205	158	610
206	158	608
207	159	607
208	160	606
209	160	604
210	161	602
211	161	601
212	162	600
213	163	599
214	163	597
215	164	596
216	164	594
217	166	596
218	166	595
219	167	593
220	167	592
221	168	591
222	169	589
223	169	588
224	170	586
225	170	585
226	171	583
227	172	582
228	172	581
229	173	582
230	174	581
231	175	579
232	176	580
233	176	579
234	177	578
235	178	576
236	178	575
237	179	573
238	179	572
239	180	571
240	181	570
241	181	568
242	182	567
243	182	566
244	183	565
245	184	564
246	184	563
247	185	561
248	185	560
249	186	559
250	187	558
251	187	557
252	188	556
253	189	555
254	189	554
255	190	553
256	191	552
257	191	551
258	192	549
259	192	548
260	193	547
261	194	546
262	194	545
263	195	544
264	195	543
265	196	541
266	196	540
267	197	539
268	198	538
269	198	537
270	199	537
271	200	536
272	201	535
273	201	534
274	202	533
275	203	532
276	204	533
277	205	533
278	206	532
279	206	531
280	207	530
281	207	529
282	208	528
283	209	527
284	210	528
285	211	527
286	211	526
287	212	525
288	213	524
289	213	523
290	214	522
291	214	521
292	215	519
293	216	518
294	216	517
295	217	516
296	217	515
297	218	514
298	219	514
299	220	515
300	221	515
301	223	516
302	223	515
303	224	513
304	225	512
305	225	511
306	226	510
307	227	510
308	227	509
